,,,,,,,,,,,,
,,,Overview Metrics,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Claims Statistics,,,,Amount Statistics,,,,Denial Rate,,0.328,
,,,,,,,,,Acceptance Rate,,0.334,
,Total claims submitted,,1000,,Allowed Amount,,223112,,,,,
,Approved/BIlled Claims ,,297191,,Paid Amount,,200754,,,,,
,Approved Vs Claimed,,334,,Average Billed Amount,,297.191,,,,,
,Denied,,328,,Average Paid Amount,,200.754,,,,,
,Under-approval,,338,,Financial Gap,,96437,,,,,
,,,,,Average Write-Off,,0.249263941,,,,,
,,,,,Allowed Vs. Billed Ratio,,0.750736059,,,,,
,,,,,Paid Vs Allowed Ratio,,0.89979024,,,,,
,,,,,Claim Outcome Status,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
